id,evento_id,usuario_id,cantidad,total,estado,preference_id,payment_id,creada_en,usada,transferida,payment_order_id
1,9,2,1,5000.0,pagada,GA-F95642FD851D,,2026-04-13 14:50:26.201877,0,0,
2,9,2,1,5000.0,pagada,GA-392F760680A1,,2026-04-13 15:02:52.377420,0,0,
3,9,2,1,5000.0,pagada,GA-B690EDA5AC12,,2026-04-13 15:05:47.049728,0,0,
15,13,2,1,1.0,pagada,GA-S0GIIDFS3Z,,2026-04-17 18:46:52.785273,1,0,
5,9,2,1,1.0,pagada,GA-690370,,2026-04-13 17:56:10.430293,0,0,
6,9,2,1,1.0,pagada,GA-209026,,2026-04-13 17:58:25.871901,0,0,
7,9,2,1,1.0,pagada,GA-585668,,2026-04-13 18:08:40.259170,0,0,
4,9,2,1,1.0,pagada,GA-XB3IHRH9KK,,2026-04-13 15:47:27.158170,0,0,
14,9,2,1,1.0,pagada,GA-Y6VR7DFSMA,,2026-04-13 19:46:00.584327,1,0,
16,13,2,1,1.0,pagada,GA-3L5BYAIOLR,,2026-04-17 19:35:35.295071,0,0,
18,13,2,1,1.0,pagada,GA-GOA0P5GIQJ,,2026-04-20 18:04:03.579835,0,0,
17,13,2,1,1.0,pagada,GA-H0C9XF1IM0,,2026-04-20 18:00:45.456473,0,0,
26,13,2,1,1.0,pagada,GA-RZQDYXT80H,,2026-05-07 15:51:22.300513,0,0,
27,13,2,1,10.0,pagada,GA-BDN97K8TQB,,2026-05-07 17:21:50.850966,0,0,
72,13,1,1,15.0,pagada,GA-H0F13VTBIE,,2026-05-08 21:56:13.178980,0,0,
73,13,1,1,15.0,pagada,GA-R36Y694NZQ,,2026-05-08 21:58:04.921399,0,0,
74,13,1,1,15.0,pagada,GA-BGPMK9PW0L,,2026-05-08 22:05:34.274230,0,0,
76,13,1,1,15.0,pagada,GA-1ZKR5VKDSX,,2026-05-11 15:00:46.190644,0,0,
79,9,2,1,1.05,pagada,GA-RYL0I7WFK4,,2026-05-11 15:45:30.078293,0,0,
77,9,1,1,1.05,pagada,GA-CQQFGU3A38,,2026-05-11 15:24:59.432860,0,0,
84,13,2,1,15.0,pagada,GA-JGB199U2B0,,2026-05-11 18:55:44.660947,0,0,
78,9,1,1,1.05,pagada,GA-WFR36MXFJV,,2026-05-11 15:25:12.260213,0,0,
85,13,2,1,15.0,pagada,GA-G5XL8YRR0R,,2026-05-11 19:10:28.836119,0,0,
86,13,1,1,15.0,pagada,GA-DKOPDFYFUX,,2026-05-11 23:40:44.625527,0,0,
87,13,1,1,15.0,pagada,GA-V3ODBG4EWZ,,2026-05-12 00:02:56.040799,0,0,
88,13,1,1,15.0,pagada,GA-9BR1Q0O7VD,,2026-05-12 00:14:04.459546,0,0,QR-1778544847-8159
89,13,1,1,15.0,pagada,GA-YYSCEZAW1E,,2026-05-12 00:23:48.791605,0,0,QR-1778545431-2682
90,13,2,1,15.0,pagada,GA-QWV0OBS1UF,,2026-05-12 14:45:27.113062,0,0,QR-1778597130-1133
91,13,2,1,15.0,pagada,GA-JS9VKBPN8N,,2026-05-12 14:57:57.513083,0,0,QR-1778597880-7720
92,13,2,1,15.0,pagada,GA-L3NMK6OH1P,,2026-05-12 15:06:42.323465,0,0,QR-1778598405-2260
93,13,2,1,15.0,pagada,GA-8ZW0I11BI1,,2026-05-12 17:42:41.131924,0,0,QR-1778607764-3727
94,13,2,1,15.0,pagada,GA-LTMPTG43DM,,2026-05-12 17:50:02.744925,0,0,QR-1778608205-1672
95,13,2,1,15.0,pagada,GA-S835OWSL9I,,2026-05-12 17:53:08.591594,0,0,QR-1778608391-3714
